year,MPO-Associates Degree,MPO-Bachelors Degree,MPO-Some High School,MPO-Graduate/Professional Degree,MPO-Graduated High School,MPO-Less than High School,MPO-Some College,MPO-Associates Degree,MPO-Bachelors Degree,MPO-Some High School,MPO-Graduate/Professional Degree,MPO-Graduated High School,MPO-Less than High School,MPO-Some College,Hopewell-Associates Degree,Hopewell-Bachelors Degree,Hopewell-Some High School,Hopewell-Graduate/Professional Degree,Hopewell-Graduated High School,Hopewell-Less than High School,Hopewell-Some College,Hopewell-Associates Degree,Hopewell-Bachelors Degree,Hopewell-Some High School,Hopewell-Graduate/Professional Degree,Hopewell-Graduated High School,Hopewell-Less than High School,Hopewell-Some College,Petersburg-Associates Degree,Petersburg-Bachelors Degree,Petersburg-Some High School,Petersburg-Graduate/Professional Degree,Petersburg-Graduated High School,Petersburg-Less than High School,Petersburg-Some College,Petersburg-Associates Degree,Petersburg-Bachelors Degree,Petersburg-Some High School,Petersburg-Graduate/Professional Degree,Petersburg-Graduated High School,Petersburg-Less than High School,Petersburg-Some College,ColonialHeights-Associates Degree,ColonialHeights-Bachelors Degree,ColonialHeights-Some High School,ColonialHeights-Graduate/Professional Degree,ColonialHeights-Graduated High School,ColonialHeights-Less than High School,ColonialHeights-Some College,ColonialHeights-Associates Degree,ColonialHeights-Bachelors Degree,ColonialHeights-Some High School,ColonialHeights-Graduate/Professional Degree,ColonialHeights-Graduated High School,ColonialHeights-Less than High School,ColonialHeights-Some College,Chesterfield-Associates Degree,Chesterfield-Bachelors Degree,Chesterfield-Some High School,Chesterfield-Graduate/Professional Degree,Chesterfield-Graduated High School,Chesterfield-Less than High School,Chesterfield-Some College,Chesterfield-Associates Degree,Chesterfield-Bachelors Degree,Chesterfield-Some High School,Chesterfield-Graduate/Professional Degree,Chesterfield-Graduated High School,Chesterfield-Less than High School,Chesterfield-Some College,Dinwiddie-Associates Degree,Dinwiddie-Bachelors Degree,Dinwiddie-Some High School,Dinwiddie-Graduate/Professional Degree,Dinwiddie-Graduated High School,Dinwiddie-Less than High School,Dinwiddie-Some College,Dinwiddie-Associates Degree,Dinwiddie-Bachelors Degree,Dinwiddie-Some High School,Dinwiddie-Graduate/Professional Degree,Dinwiddie-Graduated High School,Dinwiddie-Less than High School,Dinwiddie-Some College,PrinceGeorge-Associates Degree,PrinceGeorge-Bachelors Degree,PrinceGeorge-Some High School,PrinceGeorge-Graduate/Professional Degree,PrinceGeorge-Graduated High School,PrinceGeorge-Less than High School,PrinceGeorge-Some College,PrinceGeorge-Associates Degree,PrinceGeorge-Bachelors Degree,PrinceGeorge-Some High School,PrinceGeorge-Graduate/Professional Degree,PrinceGeorge-Graduated High School,PrinceGeorge-Less than High School,PrinceGeorge-Some College,,,,,,
2000,199.9,616,461.1,388.4,1103,172,608.5,61.4,174.9,120.9,100.6,315.4,49,191.1,95.5,341.2,134.7,215.2,465.5,50.3,267,46.9,105.7,237.3,75.9,359.7,88.3,169.4,100.4,319,162.2,206.5,513.4,58.5,294,40.8,159.1,42.2,87.4,163.7,17.7,110.8,11.8,32.2,19.4,18.6,66.2,7.5,34.4,27.1,79.8,34.9,45.8,129.8,11.1,74.2,19.6,54.7,27.1,26.3,88.9,9.6,59.3,18.4,51.8,46,27.9,106.6,19.5,61.7,15.4,76,20.5,45.3,74.2,10.1,44.3,22.4,66.5,35.7,43.2,120.7,13.5,63.2,11,25.7,19.4,10.5,60.8,6.4,31,12.4,42.7,28.4,35.8,59.1,13.6,39.1,30.6,,,,,
2005,223.934,692.084,327.516,452.128,1130.857,131.398,571.769,73.249,208.61,89.36,111.537,326.221,37.681,179.93,105.299,373.273,100.029,254.918,476.383,37.398,250.109,720.501,310.31,481.924,1122.916,145.819,636.289,77.93,210.09,85.05,131.649,329.796,40.795,204.692,106.147,400.34,68.412,18.605,28.769,90.578,6.65,56.859,22.743,62.02,35.902,29.494,108.039,13.667,53.943,17.799,84.386,18.392,53.888,139.603,8.442,72.146,22.938,68.412,18.605,28.769,90.578,6.65,56.859,22.743,62.02,35.902,29.494,108.039,13.667,53.943,17.799,84.386,18.392,55.827,76.573,8.218,44.301,24.687,71.231,31.277,49.3,113.819,10.068,55.112,13.72,31.692,14.306,13.466,66.784,4.685,34.133,13.848,46.486,20.547,39.808,60.82,12.679,34.995,31.714,,,,,
2006,229.919,709.989,339.602,454.689,1161.363,157.903,581.482,76.001,209.537,95.131,120.964,337.928,50.633,187.47,110.479,389.825,100.848,253.777,477.068,43.712,259.536,741.543,300.885,502.169,1170.539,145.988,671.921,74.793,216.619,84.44,127.328,328.287,43.62,210.927,110.41,391.743,64.932,22.625,31.084,96.462,9.197,58.084,21.512,58.532,36.123,32.921,108.455,20.571,61.733,20.754,90.438,16.818,57.691,129.284,10.195,75.689,25.52,64.932,22.625,31.084,96.462,9.197,58.084,21.512,58.532,36.123,32.921,108.455,20.571,61.733,20.754,90.438,16.818,52.554,81.661,9.525,46.219,24.751,71.536,24.323,49.597,121.427,13.023,58.006,14.981,33.944,15.235,14.809,68.344,6.187,33.346,13.988,52.129,21.148,42.15,64.667,14.678,34.307,34.17,,,,,
2007,240.641,698.293,325.97,470.407,1164.676,147.562,589.755,71.521,203.877,87.297,123.989,348.29,47.402,189.227,110.498,379.352,99.586,265.731,475.212,47.615,260.165,763.247,290.625,507.839,1163.806,147.538,655.937,71.966,219.526,77.767,133.558,334.301,41.59,207.642,111.978,418.244,65.969,19.464,37.006,92.824,8.534,58.109,20.386,55.485,34.087,31.243,118.768,19.29,58.49,19.962,93.24,13.803,57.258,130.656,14.148,75.801,22.892,65.969,19.464,37.006,92.824,8.534,58.109,20.386,55.485,34.087,31.243,118.768,19.29,58.49,19.962,93.24,13.803,60.75,77.011,9.471,46.817,25.693,70.25,25.697,52.019,119.54,11.438,56.594,13.1,34.209,16.193,13.069,70.995,6.532,34.169,15.143,48.214,17.553,42.671,65.703,13.046,38.459,33.768,,,,,
2008,234.707,720.501,310.31,481.924,1122.916,145.819,636.289,77.93,210.09,85.05,131.649,329.796,40.795,204.692,106.147,400.34,89.108,266.247,469.579,42.234,275.513,762.871,287.271,512.058,1159.93,142.783,674.407,82.839,218.538,72.988,135.331,330.787,43.626,207.113,117.833,406.847,63.991,18.729,37.456,91.084,7.963,61.972,22.222,60.366,32.756,33.841,113.372,15.886,63.401,17.02,98.796,15.03,57.199,138.268,8.769,78.733,23.753,63.991,18.729,37.456,91.084,7.963,61.972,22.222,60.366,32.756,33.841,113.372,15.886,63.401,17.02,98.796,15.03,60.477,82.091,8.137,44.853,25.65,76.067,22.421,49.597,112.218,10.849,65.022,15.413,35.717,13.611,16.376,67.508,4.147,39.352,16.542,50.016,19.954,43.976,57.832,12.799,39.967,32.555,,,,,
2009,238.518,741.543,300.885,502.169,1170.539,145.988,671.921,74.793,216.619,84.44,127.328,328.287,43.62,210.927,110.41,391.743,85.25,272.028,486.665,41.679,280.351,794.078,273.814,530.167,1163.656,144.856,655.694,78.682,227.528,72.721,132.186,337.669,42.375,204.154,121.178,425.614,68.412,18.605,28.769,90.578,6.65,56.859,22.743,62.02,35.902,29.494,108.039,13.667,53.943,17.799,84.386,18.392,55.764,145.759,10.293,76.806,23.376,68.766,21.028,33.624,91.473,8.561,57.826,22.93,60.733,29.14,34.64,110.266,16.985,70.105,19.538,95.461,15.03,60.148,80.431,10.178,48.784,25.686,71.196,22.593,55.552,120.066,11.234,63.191,13.46,37.153,13.22,16.956,67.606,5.627,40.649,15.027,49.967,21.052,42.108,58.942,12.447,42.347,34.414,,,,,
2010,230.83,763.247,290.625,507.839,1163.806,147.538,655.937,71.966,219.526,77.767,133.558,334.301,41.59,207.642,111.978,418.244,81.032,278.38,475.285,41.828,285.312,807.726,274.331,550.306,1171.095,139.495,663.003,83.996,227.021,72.291,140.077,337.781,41.593,200.516,114.717,429.093,64.932,22.625,31.084,96.462,9.197,58.084,21.512,58.532,36.123,32.921,108.455,20.571,61.733,20.754,90.438,16.818,59.378,136.983,9,86.195,22.27,68.937,16.502,39.645,92.44,7.538,61.275,20.597,63.14,32.051,34.547,109.872,13.725,68.81,19.299,101.537,14.883,63.361,75.464,9.264,47.781,26.464,75.299,20.567,53.181,120.38,11.157,62.725,15.858,37.15,13.779,15.841,65.786,5.293,37.664,13.241,50.299,15.435,43.525,66.203,15.034,39.893,36.236,,,,,
2011,249.943,762.871,287.271,512.058,1159.93,142.783,674.407,82.839,218.538,72.988,135.331,330.787,43.626,207.113,117.833,406.847,82.921,280.464,488.694,39.605,289.13,822.684,260.491,576.842,1154.673,154.199,653.993,80.905,237.335,64.677,147.277,324.632,47.183,202.839,119.047,428.007,65.969,19.464,37.006,92.824,8.534,58.109,20.386,55.485,34.087,31.243,118.768,19.29,58.49,19.962,93.24,13.803,58.763,142.844,8.083,80.123,24.469,69.189,16.759,36.248,94.71,7.684,60.436,24.693,62.12,27.873,36.342,108.436,16.941,66.883,21.015,93.321,14.537,62.653,83.902,10.472,49.437,27.184,75.489,20.741,51.149,120.491,9.783,67.026,17.475,36.86,12.456,17.92,64.346,5.627,38.754,16.202,50.369,15.9,44.821,63.295,13.374,41.04,37.648,,,,,
2012,254.364,794.078,273.814,530.167,1163.656,144.856,655.694,78.682,227.528,72.721,132.186,337.669,42.375,204.154,121.178,425.614,77.631,294.695,485.178,38.809,273.638,855.244,260.289,574.099,1146.214,141.323,657.291,83.523,234.831,65.035,144.084,329.679,41.064,212.21,130.872,447.307,63.991,18.729,37.456,91.084,7.963,61.972,22.222,60.366,32.756,33.841,113.372,15.886,63.401,17.02,98.796,15.03,59.994,139.954,8.091,77.71,22.181,71.074,17.12,37.29,94.722,9.106,60.026,25.55,67.986,26.668,34.424,106.779,17.374,66.805,21.048,101.219,14.332,64.617,79.171,9.498,48.583,29.403,76.64,19.23,55.059,121.299,9.209,62.818,15.712,39.639,12.106,15.758,67.249,4.483,38.683,15.239,48.829,16.827,44.714,68.919,11.412,38.64,37.812,,,,,
2013,249.609,807.726,274.331,550.306,1171.095,139.495,663.003,83.996,227.021,72.291,140.077,337.781,41.593,200.516,114.717,429.093,79.694,303.588,482.89,37.68,280.708,878.699,252.074,600.312,1133.498,138.482,655.065,82.252,241.322,61.925,154.424,331.912,39.567,203.643,127.222,458.518,68.766,21.028,33.624,91.473,8.561,57.826,22.93,60.733,29.14,34.64,110.266,16.985,70.105,19.538,95.461,15.03,64.559,137.14,8.057,80.145,26.484,70.222,16.018,39.772,93.216,6.303,59.942,26.477,63.16,26.586,36.507,112.696,14.544,66.99,19.85,100.511,14.48,67.694,81.648,9.259,49.393,28.13,80.649,21.689,53.811,121.253,8.424,62.226,15.368,39.444,11.601,17.767,69.818,5.09,37.212,15.667,54.195,18.086,46.031,62.051,15.656,36.372,35.729,,,,,
2014,257.4,822.684,260.491,576.842,1154.673,154.199,653.993,80.905,237.335,64.677,147.277,324.632,47.183,202.839,119.047,428.007,77.487,317.374,470.677,44.807,281.494,892.146,229.609,641.908,1153.213,133.4,641.188,87.109,247.925,61.193,164.63,315.332,38.692,205.107,122.678,467.489,68.937,16.502,39.645,92.44,7.538,61.275,20.597,63.14,32.051,34.547,109.872,13.725,68.81,19.299,101.537,14.883,66.703,136.437,7.897,78.127,27.429,77.449,15.141,37.978,88.286,6.869,58.986,22.989,70.271,23.039,38.102,110.413,17.627,64.317,18.819,100.481,13.847,70.139,79.701,12.975,50.446,24.258,78.512,22.052,59.006,118.739,10.086,65.98,17.169,39.742,10.169,19.257,68.525,4.796,37.708,13.318,49.873,16.328,51.94,57.408,17.891,41.828,42.09,,,,,
2015,274.695,855.244,260.289,574.099,1146.214,141.323,657.291,83.523,234.831,65.035,144.084,329.679,41.064,212.21,130.872,447.307,79.348,315.224,469.746,38.105,267.38,905.065,233.899,646.998,1126.864,133.644,660.827,76.34,243.003,69.38,160.766,312.731,39.655,214.372,129.811,470.384,69.189,16.759,36.248,94.71,7.684,60.436,24.693,62.12,27.873,36.342,108.436,16.941,66.883,21.015,93.321,14.537,68.751,128.41,7.367,75.364,26.862,75.762,12.496,37.829,90.565,7.435,62.923,24.377,70.556,22.948,40.922,104.204,16.183,69.63,23.635,107.748,13.531,70.248,73.575,11.554,48.863,29.79,80.14,19.282,58.939,122.529,8.314,61.284,19.02,39.301,12.049,19.757,69.023,4.829,35.096,13.264,49.212,17.542,45.576,65.887,12.617,44.561,39.346,,,,,
2016,267.373,878.699,252.074,600.312,1133.498,138.482,655.065,82.252,241.322,61.925,154.424,331.912,39.567,203.643,127.222,458.518,74.318,322.069,465.422,37.56,267.544,937.594,225.895,661.368,1111.07,130.218,639.855,88.342,255.692,58.682,166.754,314.474,38.398,196.146,133.771,486.13,71.074,17.12,37.29,94.722,9.106,60.026,25.55,67.986,26.668,34.424,106.779,17.374,66.805,21.048,101.219,14.332,71.909,131.824,8.981,70.997,26.501,74.421,13.659,42.786,93.685,6.31,58.027,23.568,70.321,25.365,39.326,106.532,13.543,70.59,23.797,109.12,14.195,69.456,76.114,9.239,47.498,28.452,84.121,18.346,62.106,118.131,8.562,61.272,18.594,41.256,9.926,20.976,68.48,5.33,36.071,13.589,55.324,12.975,51.336,63.215,14.384,38.955,39.684,,,,,
2017,271.306,892.146,229.609,641.908,1153.213,133.4,641.188,87.109,247.925,61.193,164.63,315.332,38.692,205.107,122.678,467.489,67.136,349.161,453.811,37.783,268.871,720.501,310.31,481.924,1122.916,145.819,636.289,77.93,210.09,85.05,131.649,329.796,40.795,204.692,106.147,400.34,70.222,16.018,39.772,93.216,6.303,59.942,26.477,63.16,26.586,36.507,112.696,14.544,66.99,19.85,100.511,14.48,77.022,124.785,8.552,77.873,29.684,74.803,13.228,43.337,89.418,7.898,57.989,25.461,70.019,24.926,44.584,102.817,14.087,68.819,21.625,109.477,14.108,75.552,78.569,9.543,45.025,27.675,86.594,15.139,68.063,114.718,9.007,62.604,18.348,44.594,8.013,24.632,62.84,3.655,38.927,13.616,58.509,15.026,52.077,60.257,13.052,39.372,39.766,,,,,
2018,267.971,905.065,233.899,646.998,1126.864,133.644,660.827,76.34,243.003,69.38,160.766,312.731,39.655,214.372,129.811,470.384,67.055,343.394,455.852,38.428,270.826,741.543,300.885,502.169,1170.539,145.988,671.921,74.793,216.619,84.44,127.328,328.287,43.62,210.927,110.41,391.743,77.449,15.141,37.978,88.286,6.869,58.986,22.989,70.271,23.039,38.102,110.413,17.627,64.317,18.819,100.481,13.847,77.011,129.006,7.965,71.841,22.544,76.507,13.998,44.182,84.903,6.521,66.411,24.95,67.763,25.754,43.294,100.165,16.444,72.304,21.104,113.385,11.47,79.275,72.201,9.028,50.266,29.529,85.305,18.795,63.479,114.816,7.977,65.477,16.386,43.899,8.235,22.937,64.375,5.526,40.113,12.46,54.834,21.393,50.353,63.288,11.164,35.544,43.028,,,,,
2019,286.721,937.594,225.895,661.368,1111.07,130.218,639.855,88.342,255.692,58.682,166.754,314.474,38.398,196.146,133.771,486.13,68.81,352.711,442.888,36.896,264.586,763.247,290.625,507.839,1163.806,147.538,655.937,71.966,219.526,77.767,133.558,334.301,41.59,207.642,111.978,418.244,75.762,12.496,37.829,90.565,7.435,62.923,24.377,70.556,22.948,40.922,104.204,16.183,69.63,23.635,107.748,13.531,78.532,123.559,9.143,73.095,26.645,78.94,13.117,46.074,86.33,5.589,59.596,27.043,74.645,20.276,43.563,105.369,16.012,64.518,22.837,114.996,11.692,81.532,72.86,9.944,45.316,26.866,91.18,19.728,66.035,112.895,7.316,62.356,17.856,45.026,9.122,23.789,64.869,5.077,36.817,16.798,57.081,16.167,53.328,57.906,11.72,35.215,45.775,,,,,
2020,286.721,937.594,225.895,661.368,1111.07,130.218,639.855,88.342,255.692,58.682,166.754,314.474,38.398,196.146,133.771,486.13,68.81,352.711,442.888,36.896,264.586,763.247,290.625,507.839,1163.806,147.538,655.937,71.966,219.526,77.767,133.558,334.301,41.59,207.642,111.978,418.244,75.762,12.496,37.829,90.565,7.435,62.923,24.377,70.556,22.948,40.922,104.204,16.183,69.63,23.635,107.748,13.531,78.532,123.559,9.143,73.095,26.645,78.94,13.117,46.074,86.33,5.589,59.596,27.043,74.645,20.276,43.563,105.369,16.012,64.518,22.837,114.996,11.692,81.532,72.86,9.944,45.316,26.866,91.18,19.728,66.035,112.895,7.316,62.356,17.856,45.026,9.122,23.789,64.869,5.077,36.817,16.798,57.081,16.167,53.328,57.906,11.72,35.215,45.775,,,,,
2021,292.554,1022.511,200.21,734.284,1074.237,131.411,643.743,92.925,285.848,55.564,185.721,316.534,34.619,196.815,135.657,526.176,60.636,380.054,430.406,37.844,269.631,794.078,273.814,530.167,1163.656,144.856,655.694,78.682,227.528,72.721,132.186,337.669,42.375,204.154,121.178,425.614,74.803,13.228,43.337,89.418,7.898,57.989,25.461,70.019,24.926,44.584,102.817,14.087,68.819,21.625,109.477,14.108,80.854,125.869,9.307,71.528,26.687,93.115,11.997,49.921,83.225,6.503,59.817,31.356,79.199,20.524,51.762,105.272,14.686,60.277,22.131,124.42,9.778,84.273,71.82,8.943,49.418,32.831,95.309,14.548,73.347,102.93,8.502,66.086,20.074,49.541,9.59,28.159,64.949,3.797,36.25,14.808,63.993,13.453,55.879,63.088,9.633,40.471,44.115,,,,,
2022,282.851,1010.655,191.728,759.89,1073.801,132.864,642.998,83.631,282.849,53.496,188.985,323.56,39.874,197.238,134.419,515.735,53.781,392.802,445.787,40.64,265.8,807.726,274.331,550.306,1171.095,139.495,663.003,83.996,227.021,72.291,140.077,337.781,41.593,200.516,114.717,429.093,76.507,13.998,44.182,84.903,6.521,66.411,24.95,67.763,25.754,43.294,100.165,16.444,72.304,21.104,113.385,11.47,87.476,131.037,8.218,70.344,27.265,86.255,11.873,53.394,87.662,6.627,60.458,24.252,78.892,21.111,53.992,106.578,16.564,62.32,22.503,127.352,9.438,86.648,73.165,10.45,48.223,31.653,92.185,13.452,71.352,105.345,11.273,66.414,18.458,50.778,8.585,27.557,64.997,3.74,37.303,13.656,66.924,11.927,54.042,64.323,12.943,37.157,40.588,,,,,
2023,310.568,1021.501,186.263,749.838,1083.878,134.116,623.544,93.711,281.926,51.083,186.145,315.024,43.429,205.832,138.573,523.13,56.625,396.99,443.49,40.883,260.657,822.684,260.491,576.842,1154.673,154.199,653.993,80.905,237.335,64.677,147.277,324.632,47.183,202.839,119.047,428.007,78.94,13.117,46.074,86.33,5.589,59.596,27.043,74.645,20.276,43.563,105.369,16.012,64.518,22.837,114.996,11.692,83.813,132.365,7.252,69.378,27.943,88.455,11.415,54.895,87.282,5.866,62.26,27.502,82.512,20.062,48.785,104.989,18.198,63.835,22.267,126.133,9.272,94.188,71.933,11.181,45.796,29.827,92.73,14.663,76.075,107.371,11.491,61.77,22.096,49.439,5.962,26.254,65.735,4.554,38.877,16.17,61.52,13.644,56.211,57.018,14.811,40.86,46.735,,,,,
